Rank,Previous,School,Conference,Record,Road,Neutral,Home,Non Div I
77,76,Old Dominion,Sun Belt,27-23,5-11,1-0,21-12,0-0
78,78,Portland,WCC,32-17,18-11,0-1,14-5,0-0
79,83,Miami (FL),ACC,24-27,6-13,0-0,18-14,0-0
80,79,Saint Louis,Atlantic 10,36-12,8-8,6-0,22-4,0-0
81,81,Nicholls,Southland,28-19,12-11,1-0,15-8,4-0
82,82,Arizona St.,Pac-12,29-24,11-9,0-3,18-12,0-0
83,80,Boston College,ACC,22-28,12-9,3-1,7-18,0-0
84,87,Samford,SoCon,33-18,10-10,0-0,23-8,0-0
85,84,Campbell,CAA,29-21,8-12,1-0,20-9,0-0
86,88,Pittsburgh,ACC,24-26,6-12,6-2,12-12,0-0
87,86,Michigan,Big Ten,29-24,8-10,2-6,19-8,0-0
88,85,Grand Canyon,WAC,32-20,13-10,2-0,17-10,0-0
89,89,VCU,Atlantic 10,31-20,10-11,3-0,18-9,0-0
90,91,USC Upstate,Big South,33-20,11-10,0-1,22-9,0-0
91,90,UIC,MVC,31-16,11-7,3-3,17-6,1-0
92,92,Iowa,Big Ten,27-20,7-12,2-4,18-4,2-0
93,95,CSUN,Big West,29-19,14-12,0-0,15-7,0-0
94,93,Kennesaw St.,ASUN,26-23,16-17,0-0,10-6,0-0
95,98,Southern California,Pac-12,25-27,12-11,0-6,13-10,0-0
96,94,Western Ky.,CUSA,32-19,12-11,0-0,20-8,0-0
97,96,Evansville,MVC,29-22,15-15,0-0,14-7,0-0
98,99,Georgia St.,Sun Belt,24-29,12-15,0-1,12-13,0-0
99,97,Saint Mary's (CA),WCC,33-17,12-10,0-0,21-7,0-0
100,101,Cal Poly,Big West,32-19,10-8,0-0,22-11,0-0
101,100,Tulane,AAC,29-23,10-10,0-0,19-13,0-0
102,107,Houston,Big 12,26-26,4-14,2-2,20-10,0-0
103,102,Western Caro.,SoCon,26-23,8-10,4-2,14-11,0-0
104,104,Missouri,SEC,22-30,6-14,1-2,15-14,0-0
105,103,Mercer,SoCon,25-25,9-14,0-0,16-11,0-0
106,105,Michigan St.,Big Ten,23-25,6-8,5-9,12-8,0-0
107,106,Bowling Green,MAC,29-18,16-15,0-0,13-3,0-0
108,109,Wichita St.,AAC,27-26,7-14,1-2,19-10,0-0
109,110,Dayton,Atlantic 10,31-18,15-13,0-0,16-5,0-0
110,108,Columbia,Ivy League,26-16,11-10,0-2,15-4,0-0
111,112,UTSA,AAC,30-21,10-8,1-2,19-11,0-0
112,114,UC Davis,Big West,25-25,12-15,0-0,13-10,0-0
113,111,Texas St.,Sun Belt,26-27,8-10,3-3,15-14,0-0
114,120,Stetson,ASUN,34-19,11-10,0-0,23-9,0-0
115,113,Liberty,CUSA,22-29,6-18,0-0,16-11,0-0
116,117,Minnesota,Big Ten,22-22,10-11,3-4,9-7,1-0
117,121,Wright St.,Horizon,30-20,17-15,0-1,13-4,0-0
118,122,Air Force,Mountain West,23-26,9-17,3-3,11-6,0-0
119,118,William & Mary,CAA,29-22,10-10,0-0,19-12,0-0
120,123,Missouri St.,MVC,21-31,15-21,0-0,6-10,0-0
121,124,McNeese,Southland,26-23,6-13,0-0,20-10,2-0
122,119,New Orleans,Southland,26-22,9-11,0-1,17-10,3-0
123,130,BYU,Big 12,20-29,10-13,1-2,9-14,0-0
124,115,FIU,CUSA,25-26,9-9,0-0,16-17,0-0
125,125,Charlotte,AAC,22-30,5-16,0-2,17-12,0-0
126,133,Niagara,MAAC,32-15,20-12,0-0,12-3,0-0
127,116,Illinois St.,MVC,26-24,15-16,1-2,10-6,0-0
128,140,VMI,SoCon,24-26,10-19,1-1,13-6,2-0
129,126,Rider,MAAC,25-20,13-17,0-1,12-2,0-0
130,127,Baylor,Big 12,21-29,5-12,0-3,16-14,0-0
131,128,California Baptist,WAC,32-21,11-9,0-1,21-11,0-0
132,138,South Fla.,AAC,25-27,8-14,0-0,17-13,0-0
133,141,Bryant,America East,32-17,13-13,0-0,19-4,0-0
134,132,New Mexico St.,CUSA,24-25,9-14,0-0,15-11,0-0
135,129,Ball St.,MAC,30-20,13-12,4-2,13-6,0-0
136,135,Northwestern,Big Ten,17-32,10-23,0-0,7-9,0-0
137,136,High Point,Big South,29-24,9-10,0-0,20-14,0-0
138,139,Army West Point,Patriot,29-21,11-7,4-5,14-9,0-0
139,137,Santa Clara,WCC,24-24,7-15,0-1,17-8,0-0
140,147,Sacred Heart,NEC,30-21,12-17,0-0,18-4,0-0
141,146,Austin Peay,ASUN,33-18,15-12,0-0,18-6,0-0
142,144,Abilene Christian,WAC,30-22,13-11,0-1,17-10,0-0
143,131,Delaware,CAA,27-23,17-9,1-0,9-14,0-0
144,150,FGCU,ASUN,26-24,8-14,0-1,18-9,0-0
